stop_words,stop,language
de,1,english
en,1,english
la,1,english
le,1,english
que,1,english
se,1,english
he,1,english
I,1,english
i,1,english
me,1,english
has,1,english
a,1,english
no,1,english
o,1,english
y,1,english
able,1,english
accept,1,english
access,1,english
action,1,english
actiontaken,1,english
active,1,english
additional,1,english
adv,1,english
advantage,1,english
advice,1,english
advise,1,english
advs,1,english
advsd,1,english
aep,1,english
age,1,english
aged,1,english
agent,1,english
ahold,1,english
allow,1,english
also,1,english
always,1,english
amount,1,english
andor,1,english
annual,1,english
anoc,1,english
answer,1,english
all,1,english
apologize,1,english
applicable,1,english
appropriate,1,english
approval,1,english
approve,1,english
area,1,english
arrive,1,english
ask,1,english
assist,1,english
assistance,1,english
associate,1,english
attempt,1,english
aug,1,english
auht,1,english
auth,1,english
authorization,1,english
authorizationreferral,1,english
authorizationreferralnotification,1,english
authref,1,english
authreferral,1,english
avail,1,english
available,1,english
ave,1,english
await,1,english
back,1,english
bc,1,english
be not,1,english
believe,1,english
beneficiary,1,english
benefit,0,english
benfit,0,english
besst,1,english
best,1,english
bg,1,english
bin,1,english
blvd,1,english
box,1,english
business,0,english
buy,0,english
cahpshos,1,english
call,1,english
callback,1,english
caller,1,english
campaign,0,english
can not,1,english
care,0,english
case,1,english
cause,1,english
ccs,1,english
certain,1,english
change,0,english
check,1,english
ci,1,english
claimsauth,1,english
cms,1,english
co,1,english
cob,1,english
cobra,1,english
code,0,english
combine,1,english
come,1,english
communication,1,english
complaint,0,english
complete,1,english
comprehensive,1,english
confirmation,0,english
connect,1,english
consider,1,english
contact,1,english
continue,1,english
continuous,1,english
contract,0,english
copay,0,english
correct,1,english
cost,0,english
could,1,english
cover,0,english
coverage,0,english
crm,1,english
current,1,english
currently,1,english
customer,1,english
date,1,english
datetime,1,english
day,1,english
debut,1,english
deduct,1,english
deliver,1,english
department,1,english
detail,1,english
disconnect,1,english
discuss,1,english
disregard,1,english
dms,1,english
do not,1,english
document,1,english
documentation,1,english
dos,1,english
dr,1,english
drop,1,english
drug,0,english
dual,1,english
eastern,1,english
educate,1,english
effective,1,english
eg,1,english
election,1,english
elig,1,english
eligible,1,english
emme,1,english
encourage,1,english
engage,1,english
enrollment,1,english
ensure,1,english
eoc,1,english
etc,1,english
even,1,english
every,1,english
examination,0,english
expect,1,english
explain,1,english
fax,1,english
faxed,1,english
feel,1,english
file,1,english
find,1,english
follow,1,english
following,1,english
fresh,1,english
friday,1,english
fully,1,english
ga,1,english
general,1,english
generate,1,english
generic,1,english
genericpreferre,1,english
get,1,english
give,1,english
go,1,english
good,1,english
grant,1,english
grid,1,english
grievance,1,english
grievancecomplaint,1,english
group,1,english
guidance,1,english
handle,1,english
happen,1,english
hcpr,1,english
health,1,english
hear,1,english
help,1,english
high,1,english
history,1,english
hmo,1,english
hour,1,english
hpcuser,1,english
humana,1,english
humanacompay,1,english
humanas,1,english
hung,1,english
identify,1,english
il,1,english
improve,1,english
include,1,english
inconvenience,1,english
indicate,1,english
info,1,english
inform,1,english
information,1,english
initial,1,english
initialprimary,1,english
another,1,english
inquire,1,english
interested,1,english
investigate,1,english
investigation,1,english
issue,1,english
issueconcern,1,english
item,1,english
keep,1,english
know,1,english
large,1,english
last,1,english
left,1,english
let,1,english
letter,0,english
lic,1,english
like,1,english
limit,1,english
limited,1,english
lis,1,english
llamada,1,english
local,1,english
log,1,english
loggedautoattache,1,english
long,1,english
look,1,english
low,1,english
ltss,1,english
make,1,english
maximum,1,english
may,1,english
mber,1,english
mbr,1,english
mbrs,1,english
mcg,1,english
md,1,english
meal,0,english
medicaid,0,english
medical,1,english
medicare,0,english
medication,0,english
meet,1,english
mem,1,english
member,1,english
mention,1,english
mentor,1,english
message,1,english
mg,1,english
michael,1,english
minute,1,english
ml,1,english
monday,1,english
month,1,english
monthly,1,english
msp,1,english
much,1,english
must,1,english
na,1,english
name,1,english
necessity,1,english
need,1,english
network,1,english
new,1,english
next,1,english
noclosehandle,1,english
nocomplete,1,english
normal,1,english
any,1,english
notate,1,english
note,1,english
notice,1,english
notification,1,english
number,1,english
numberif,1,english
obtain,1,english
october,1,english
oes,1,english
offer,1,english
office,1,english
og,1,english
ogo,1,english
ogofeedbacklack,1,english
oi,1,english
oms,1,english
open,1,english
operation,1,english
option,1,english
oral,1,english
orienta,1,english
original,1,english
otc,1,english
outcome,1,english
outreach,1,english
overall,1,english
overlap,1,english
oversight,1,english
overview,1,english
pair,1,english
pan,1,english
pay,1,english
pbp,1,english
pcn,1,english
pcp,1,english
pdp,1,english
pende,1,english
per,1,english
perform,1,english
periods,1,english
permanent,1,english
ph,1,english
pharmacy,0,english
phone,0,english
place,1,english
plan,1,english
please,1,english
pm,1,english
poa,1,english
policy,0,english
prefer,1,english
primacy,1,english
print,1,english
prior,1,english
procedure,1,english
progress,1,english
-pron-,1,english
#NAME?,1,english
#NAME?,1,english
provide,1,english
provider,1,english
purchase,1,english
quarter,1,english
query,1,english
question,1,english
quick,1,english
reach,1,english
read,1,english
reason,1,english
receipt,1,english
receive,1,english
refer,1,english
reference,1,english
regard,1,english
related,1,english
release,1,english
rep,1,english
request,1,english
require,1,english
resolution,1,english
resource,1,english
result,1,english
retail,1,english
retiree,1,english
retireecobra,1,english
review,1,english
route,1,english
routine,1,english
run,1,english
rx,1,english
rxtpa,1,english
sale,0,english
say,1,english
scc,1,english
see,1,english
select,1,english
selection,1,english
self,1,english
send,1,english
service,1,english
share,1,english
show,1,english
side,1,english
since,1,english
sistema,1,english
size,1,english
solutran,1,english
speak,1,english
specialist,1,english
spend,0,english
spend type,1,english
ssa,1,english
stage,1,english
stamp,1,english
start,1,english
state,1,english
stay,1,english
step,1,english
still,1,english
submit,1,english
successfully,1,english
supply,1,english
sure,1,english
sw,1,english
system,1,english
tablet,0,english
take,1,english
talk,1,english
team,1,english
telephone,1,english
tell,1,english
thank,1,english
think,1,english
tier,1,english
time,1,english
timestamp,1,english
tn,1,english
today,1,english
toward,1,english
track,1,english
transfer,1,english
transferredreferre,1,english
try,1,english
tty,1,english
type,1,english
u,1,english
understand,1,english
unfortunately,1,english
upon,1,english
use,1,english
variance,1,english
vat,1,english
verbal,1,english
verify,1,english
visit,0,english
visits0,1,english
walmart,0,english
want,1,english
ways,1,english
week,1,english
well,1,english
what s,1,english
wife,1,english
within,1,english
without,1,english
work,1,english
would,1,english
would not,1,english
year,1,english
yes,1,english
yescomplete,1,english
yesselect,1,english
yet,1,english
guideline,1,english
subject,1,english
waiting,1,english
wait,1,english
anyone,1,english
via,1,english
specific,1,english
ppo,1,english
status,1,english
period,1,english
copy,1,english
calendar,1,english
oon,1,english
innoon,1,english
along,1,english
concern,1,english
begin,1,english
troubleshoot,1,english
dob,1,english
zip,1,english
process,1,english
catalog,1,english
ticket,1,english
goasc,1,english
anything,1,english
management,0,english
aka,1,english
sorry,1,english
become,1,english
utilize,1,english
brief,1,english
ccall,1,english
hide,0,english
as,1,english
web,1,english
emulation,1,english
necessary,1,english
troubleshooting,1,english
cs,1,english
csr,1,english
responsible,1,english
browser,0,english
chrome,1,english
ie9,1,english
however,1,english
usually,1,english
aforementioned,1,english
both,1,english
anybody,1,english
each,1,english
either,1,english
aught,1,english
few,1,english
each other,1,english
enough,1,english
everybody,1,english
everyone,1,english
everything,1,english
her,1,english
hers,1,english
herself,1,english
him,1,english
idem,1,english
himself,1,english
his,1,english
mine,1,english
hpcc,1,english
naught,1,english
neither,1,english
no one,1,english
nobody,1,english
nothing,1,english
nought,1,english
inn,1,english
one another,1,english
others,1,english
ought,1,english
it,1,english
ourself,1,english
several,1,english
its,1,english
somebody,1,english
someone,1,english
something,1,english
somewhat,1,english
itself,1,english
suchlike,1,english
thee,1,english
many,1,english
theirself,1,english
theirselves,1,english
themself,1,english
most,1,english
my,1,english
thine,1,english
myself,1,english
thou,1,english
thy,1,english
thyself,1,english
us,1,english
none,1,english
whatever,1,english
whatnot,1,english
whatsoever,1,english
whence,1,english
whereby,1,english
wherefrom,1,english
wherein,1,english
whereinto,1,english
whereof,1,english
whereon,1,english
wherever,1,english
wheresoever,1,english
whereto,1,english
whereunto,1,english
wherewith,1,english
wherewithal,1,english
whether,1,english
not,1,english
whichever,1,english
whichsoever,1,english
whoever,1,english
one,1,english
whomever,1,english
whomso,1,english
whomsoever,1,english
whose,1,english
whosever,1,english
whosesoever,1,english
whoso,1,english
whosoever,1,english
ye,1,english
yon,1,english
